title,heading,content,tokens
A68 9 Evenings: Theatre & Engineering Program,Q19770,"kisses	sweeter	than wine
by: Oyvind Fahlstrom
performance engineer: Harold Hodges


direction: 
Soren Brunes
Oyvind Fahlstrom

production assistants:
Letty Lou Eisenhauer Ulla Lyttkens
props: Alfonse Schilling 
performers: Bob Breer
Frances Breer
Letty Lou Eisenhauer 
Bruce Glushakow 
John Glover
Tom Gormley
Jim Hardy 
Ed Iverson 
Kosugi 
Larry Leitch 
Les Levine
Marjorie Strider 
Bob Schuler
Ulla Wiggen

tapes: Sveriges Radios, Stockholm
WBAI-NVC
films: "" Creatoin of the Humanoids"" courtesy W. Barry, Genie Productions Inc. and Medallion Pictures;
""Acqua Sangemini"" courtesy Ditta Agrippa, Rome;
Educational Films
courtesy AT&T NYC 

chemicals: Nuclear Research Associates
Associates

ln my piece, I approach the new technology on several levels. Chemicals developed by the new technology permit me to use elements formoerly not possible-an object gradually chang­ing color, ""snow bubbles"" rising from the ground, people enveloped by ""clouds."" By utilizing our internal broadcasting system, I can have pillows sing out while they are bounced on the floor or thrown in the air. By utilizing our remote control system, I can have an actor pursued by an air­ borne object or direct the same object to approach floating targets.
On another level, my piece deals with machine-like qual­ities in people: robot-like people capable of memorizing enormous amounts of data or of making multi-digit calculations in their heads (as found in psychiatric literature): the risk of putting ""robots"" (narrow minds) in situations for which they are not ""programmed"" - i.e., crisis situations - and machines getting out of control. Juxtaposed with this are glimpses of everyday events and characters of the world of today. Bob Hope and Mao Tse Tung appear in New York city street demonstrations, for example. For this we will use films of an actual demonstration along with tapes of the reactions of the people who see it. Tape and film become a part of the piece. New York, China, Indonesia, the bottom of the sea, space, the world of the future (as seen in a science fiction movie) all are interwoven in­ to a triptych of slide, movie, and television screens. There's no explanation. The spectator  draws conclusions or not, as he chooses.
l think of it as initiation rites for a new medium. Total Theater.


Peter Hirsch and Oyvind Fahlstrom with ball designed
to carry bouncing sound source. Photo William Rivelli",610
A68 9 Evenings: Theatre & Engineering Program,Q19771,"physical	things
by: Steve Paxton
performance engineer: Dick Wolff

This piece is a dance with a set. It is cast not only by those chosen as permanent population (for the duration of the piece) but by those who have chosen to come to see it, and it is presumed that they will observe each other. With regards to air pressure and topography this piece is not an airplane, is pretty much the opposite of an airplane, but much of the rest of it is analogous.

cast: Karen Bacon 
Sue Hartnett 
Margaret Hecht 
Michael Kirby
Ted Kirby
Clark Poling
Elaine Sturtevant
David White
and others

technicians and help:
Karen Bacon 
Margaret Hecht
Tony Holder
Walter Gebb
Larry Leitch

sound: disparate sources",181
A68 9 Evenings: Theatre & Engineering Program,Q19768,"by: Alex Hay



grass field

performance engineer: Herb Schneider
sound distributor: David Tudor
cast:  Steve Paxton
Robert Rauschenberg
credits: Schweber Electronics for integrated circuits;
Mount Sinai Laboratory for technical information

A work built around three elements divided into parts equal in time.
Three elements:
1. Internal sound poten­tials of the body
2. External body color
3. A singular work activity
The body sounds, example:
brain waves, muscle move­ment, eye movement, will be picked up by differential am­plifiers and transmitted to the central control stations to be distributed by the sound person.
All properties and dress will have the color identity of the skin of the performers.
The work activity is the random placement of 100 numbered six foot squares of duck in a ten by ten modular pattern and then retrieved in a correct arithmetic progres­sion and placed centrally. The placement  and retrieving of the squares will be a designation of the two parts.

Alex Hay and Lucinda Childs during the discussions at Stony Point, N. Y., Summer
1966.
Photo Franny Breer",247
A68 9 Evenings: Theatre & Engineering Program,Q19769,"-by: Lucinda Childs
performance engineer: Peter Hirsch

vehicle

cast: William Davis Alex Hay
slides by: Les Levine
Vehicle consists of ma­terials animate, inanimate, air-supported	(in one in­ tance), which can exist in a non-static state and be ob­served in increased dimen­sion as they come in contact with light and sound sources made available consistently or intermittedly	by radio signals through-out	the dance.
The   Doppler sonar has ultrasonic beam sources and a receiver. The beam emits frequencies at a level which is greater than our hearing capacity. A moving figure or object passing in front of the beam interrupts it and sends frequencies back to the re­ceiver of the sonar at a level determined by the velocity of the figure or object. What we hear is the proportional difference between the fre­quencies sent out and those returned through interrup­tion of the beam, and the re­sulting reduction in the fre­quency level is what makes the sonar audible. Middle C (as we know it in music) is supposed to occur at approx­imately three feet per second of  movement.   This device, however, picks up movement of any duration or speed at the exact time that it begins or ends.
The ground effect ma­chine is made from a General Motors refrigerator part which is designed as a plat­ form to raise the 440 lb. weight of a refrigerator a fraction of an inch off the ground by the intake of air from a vacuum cleaner, thus making it possible to move the 440 lbs. with ease. The engineer, Per Biorn, installed two vacuum cleaner motors onto this platform so that I am in effect on a cushion of air when I use it.
I intend to utilize these de­ vices in a set of circum­stances as  instruments which may or may not be efficient to the notion of com­pleting anything. I do not feel that dance should be limited to the display of physical ex­ertion alone; anything that can exist in a non-static state for a certain duration of time is of interest to me. My ideas are generally derived from the laws which govern the materials themselves and I attempt to allow the qualities and limitations of materials to be exposed in different situations.

Alex Hay and Lucinda Childs with ground effect machine at Berkeley Height s School
rehearsal.",510
A68 9 Evenings: Theatre & Engineering Program,Q19774,"two holes of	water	3
by: R. Whitman
performance engineer: Robby Robinson
film : Pan American Eastern Airlines
fiber optics: Flexi-opti cs tv help: Bill Hartig


I am after a work around the stability of a film image and the immediacy of news­ flash. The images are con­cerns - the whole piece makes an image. Television is a great way to collect stuff; besides what's on the air, a camera on anything brings it in live- a local newsflash. Film is a rock solid steady unchangeable record of someone looking at some­ thing past.

performers: Max Baker
Gil Miller Terry Riley

Les Levine Toby Mussman Bob Breer

Jane Kramer Elaine Sturtevant John Giorno

Susanne de Maria Mimi Miller Trisha Schlieter

Julie Martin


R. Whitman and Debbie Hay during the discussions at Stony Point, N.Y., Summer
1966.
Photo Franny Breer",214
A68 9 Evenings: Theatre & Engineering Program,Q19775,"bandoneon
by: David Tudor
performance engineer: Fred Waldhauer
tv images by: Lowell Cross 
carts: 
David Behrman
AnthonyGnazzo

vochrome:Bob Kieronski

Bandoneon !, (bandoneon the production of visual factorial), is a combine incoporating programmed audio circuits, moving loudspeakers, tv images and lighting, instrumentally excited.
The instrument, a bandoneon, will create signals whic are simultaneously used as material for differentiated audio spectrums (achieved through modulation means, and special loudspeaker construction), for the production of visual images, devised by Lowell Cross; for the activation of programming devices controlling the audio visual environment, devised by Bob Kieronski (""Vochrome,"" and programmed patchboard) and Fred Waldhauer (Proportional Control).

Bandoneon ! uses no composing means; when activated it composes itself out of its own composite instrumental nature.

David Tudor, Fred Waldhauer right, with Tudor's bandoneon at a Berkeley Heights School
rehearsal.
Photo Franny Breer",242
A68 9 Evenings: Theatre & Engineering Program,Q19772,"by: Deborah Hay
performance engineer: Larry Heilos

solo

performers: Franny Breer
Lucinda Childs 
William Davis 
Jim Jardy
Alex Hay 
Deborah Hay 
Margaret Hecht 
Ed Iverson 
Kathy Iverson 
Julie Judd
Olga Kluver 
Vernon Lobb 
Fujiko Kakaya 
Steve Paxton
Bob Rauschenberg 
Joe Schlichter
Bob Schuler 
Marjorie Strider 
Carol Summers 
James Tenny

music: ""Funakakushi"" by Toshi lchiyanagi

men's costumes by
Letty Lou Eisenhauer

Solo is a white, even, clear event in space.The perform­ ers are part of the space and light. They continue the quality of the area - a white environment. All movement is with the intention of main­taining a balance of order and evenness.
S010 is cumulative, gradu­ally accumulating more light, more platforms, more per­formers, more activity -yet remaining as still and com­posed as in the beginning.
There are 24 performers. Eight of the performers re­main stationary. Formally dressed, they are seated as a musical ensemble. From this position they operate eight remote control plat­ forms, which move in and around the space. Sixteen of the performers also move in and around the space, sometimes on the platforms.
Bright lights around the stage area are strongly re­flected by the white cos­tumes of the 16 moving per­formers. The extreme intensity or light bouncing off the costumes modifies the lines of the human body. At times there are no lights. I am interested in creating a middle ground between see­ing and not seeing.
The principal visual ele­ments of the piece are mov­ing performers, lights, dark­ness, remote control plat­ forms, and movement. It is my main intention to make all these elements equal in energy and visibility.


Larry Heilos, Billy Kluver and Debbie Hay on a remote control platform, Berkeley Heights School gymnasium.
Photo Franny Breer",468
A68 9 Evenings: Theatre & Engineering Program,Q19773,"carriage discreteness
by: Yvonne Ranier
performance engineer: Per Biorn

A dance consisting of two separate but parallel (simultaneous) continuities and two separate (but equal) control systems. 1. Perform­er continuity controlled by me from a remote ""plotting"" table where I will spontane­ously choose the actions and placement of people and ob­jects (from a pre-determined list of possibilities) and com­municate those decisions to the 10-odd performers via walkie-talkie. 2. Event con­tinuity to be controlled by TEEM (theatre electronic en­vironment modular system) in its memory capacity. This part will consist of sequen­tial events that will include movie fragments, slide pro­jections, light changes, TV­ monitored close-ups of de­ tails in the dance-proper, tape recorded monologues and dialogues, and various photo-chemicaI phenomena, several involving ultra-violet light.

performed by: 
Carl Andre
Becky Arnold 
Rosemarie Castoro 
William Davis
Letty Lou Eisenhauer
June Ekman	
Ed Iverson 
Kathy Iverson
Julie Judd 
Michael Kirby
Alfred Kurchin
Benjamin Lloyd
Lewis Lloyd 
Meredith Monk 
Steve Paxton 
Carol Summers

stage manager: Rudy Perez



Yvonne Rainer surrounded by, left , Steve Paxton and Debbie Hay, right, Bob Rauschenberg and Barbro Fahlstrom.
Photo Phil MacMullan",343
A68 9 Evenings: Theatre & Engineering Program,Q19778,"One of the problems faced by the contemporary artist is that everyone knows what art is. The scientist, by comparison, has it easy; nobody, not even fellow scientists, would dare to claim total knowledge about science. A scientist is, in fact, trained to balance between having no precon­ceived ideas and accepting reality.",64
A68 9 Evenings: Theatre & Engineering Program,Q19779,"Poster for 9 Evenings available at DWAN Gallery, Galleria BONNINO and CAS­TELLI Gallery. Completely documented poster with  40  signatures,  $200.  With the designer's (Robert Rauschenberg's) signature $25.",57
A68 9 Evenings: Theatre & Engineering Program,Q19776,"My piece begins with an authentic tennis game with rackets wired for transmission of sound. The sound of the game will control the lights. The game's end is the moment the hall is totally dark. The darkness is illu­sionary. The hall is flooded with infra-red (so far invisible to the human eye). A modestly choreographed cast of from 300 to 500 people will enter and be ob­ served and projected by in­frared television on large screens for the audience. This is the limit of the realization of the piece to date.
Tennis is movement. Put in the context of  theater  it is a formal dance improvisa­tion. The unlikely use of the game to control the lights and to perform as an orches­tra interests me. The con­flict of not being able to see an event that is taking place right in front of one except through a reproduction is the sort of double exposure of action. A screen of light and a screen of darkness.

open score
by: Robert Rauschenberg
performance engineer: Jim McGee
cast: Frank Stella
Mimi Kanarek
a group of 500 people.

The support of the Down­ town Community School is responsible for the large cast in Open Score. Through the management of Marilyn Wood and the cooperation of parents and interested par­ties, the cast has been gen­erously collected. The sources are varied and rich in intentions.    The result of their voluntary involvement reaps the Downtown Com­munity School $1000 for a scholarship fund. I would like to draw attention to the fact that all the names were not available at the time this program went to press. They should all be personally re­corded, but the next best thing to do is to report that they well represent the world (our society) and are locally from such varied organizations  as  high school science classes,   drama   organizations , senior citizens groups, individual artists, reformed addicts' club and a New York fencing club. I am touched by the positive support, work, art, love and people.


Steve Paxton with tennis racquet testing closed-circuit
tv system. Photo Bob Rauschenberg",460
A68 9 Evenings: Theatre & Engineering Program,Q19777,"This photograph does not include many of the people who were essential to this  festival. Reading, left to right, zigzag; Top row: Joe Fallica, Ulla Lyttkens,  Phillip  ldone,  Ron  Hobbs, John Cage, Jennifer Tipton, Beverly Emmons, lrfan Camlibel, Jacky  Grant,  Bob  Kieronski, Soren Brunes, Witt Wittnebert. 2nd row from top: Jeff Strickler, Alice Schwebke, Ulla Wiggen, Alphonse Schilling, Howard Marks, Herb Schneider, Oyvind Fahlstrom, Larry Heilos, Jim McGee, Per Biorn, Yvonne Rainer, R. Whitman, Clark Poling, Simone Whitman, Gloria Bryant. Bottom row: David Long, Nancy Chandler, Billy Kluver, David Anderson, Deborah Hay, Franklin Konigs­ berg, Fred Waldhauer, Lucinda Childs, Robbie Robinson, Robert Rauschenberg, Ralph Flynn, Bruce Glushakow, Pontus Hulten, Alex Hay, Cecil Coker, Larry Leitch, Steve Paxton.",239
A68 9 Evenings: Theatre & Engineering Program,Q19780,"cast: Karen Bacon, Sue Hartnett, Margaret Hecht, Michael Kirby, Ted  Kirby, Clark Poling, Elaine Sturtevant, David White, and others. technicians and help: Karen Bacon, Margaret Hecht, Tony Holder, Walter Gelb, Larry Leitch. sound:",60
A68 9 Evenings: Theatre & Engineering Program,Q19781,Per Biorn comes from Copen­hagen. He designed and built the ground effect machine for Lucinda Childs and built a part of the decoding units for TEEM. He also set up the automated program for Yvonne Rainer. During  the  working  day  he   is in semi-conductor research.,69
"A83 E.A.T. News, June 1, 1967",Q19800,"The purpose of Experiments in Art and Technology, Inc. is to catalyze the inevitable active involvement of industry, technology , and the arts. E.A.T. has assumed the responsibility of developing an effective collaborative relationship between artists and engineers.",50
"A83 E.A.T. News, June 1, 1967",Q19801,Engineers are becoming aware of their crucial role in changing the human environment. Engineers who have become involved with artist's projects have perceived how the artist's insight can influence his directions and give human scale to his work. The artist in turn desires to create within the technological world in order to satisfy the traditional involvement of the artist with the relevant forces shaping society. The collaboration of artist and engineer emerges as a revolutionary contemporary sociological process.,85
"A113 Facsimile of “Art and Science Proclaim Alliance in Avant-Garde Loft”, The New York Times, Wednesday, October 11, 1967",Q19807,This modest and uncertain merger seeks to bridge the gap between the two worlds. It is intended to bring modern technological tools to the artist for creating new art forms and fresh insights and viewpoints to the engineer for creating a “people-oriented” technology.,51
"A113 Facsimile of “Art and Science Proclaim Alliance in Avant-Garde Loft”, The New York Times, Wednesday, October 11, 1967",Q19811,"Among the art objects on display was a large drawing of a nude generated by a computer. Masterminded by two engineers, L.D. Harmon and K.C. Knowlton, this project involved making a transparency from a photograph and scanning it with a device operating like television camera.",58
"A113 Facsimile of “Art and Science Proclaim Alliance in Avant-Garde Loft”, The New York Times, Wednesday, October 11, 1967",Q19808,"Mr. Rauschenberg, along with Dr. Billy Klüver, an electronics engineer who is specializing in laser research at the Bell Laboratories, and Theodore W. Kheel, the lawyer labor mediator, are prime movers in the art-technology merger.",54
"A113 Facsimile of “Art and Science Proclaim Alliance in Avant-Garde Loft”, The New York Times, Wednesday, October 11, 1967",Q19815,"Visitors the studios were intrigued by a sculptural representation of a woman taking a shower. As droplets of water dripped from the shower-head in a white stall, moving-picture images of the woman were registered by a projector behind the stall on a sand-blasted Plexiglass panel.",61
"A113 Facsimile of “Art and Science Proclaim Alliance in Avant-Garde Loft”, The New York Times, Wednesday, October 11, 1967",Q19812,"The event was celebrated at a news conference “happening” in the six-story loft building at 381 Lafayette Street used for studio purposes by Robert Rauschenberg, the avant-garde artist.",46
"A113 Facsimile of “Art and Science Proclaim Alliance in Avant-Garde Loft”, The New York Times, Wednesday, October 11, 1967",Q19813,"In a sound-drenched Lower Manhattan loft building that was enlivened by revolving painted disks, film projections, floating pillow’s and miniskirted girls in paper smocks, representatives of industry and labor joined a number of artists and scientists yesterday to proclaim a ""working alliance” between art and technology.",65
"A113 Facsimile of “Art and Science Proclaim Alliance in Avant-Garde Loft”, The New York Times, Wednesday, October 11, 1967",Q19818,"The information on the transparency was then stored on magnetic tape in the form of pulses standing for digits, with the level of the picture represented by numbers ranging from 0 to 7. After processing all the numbers, the computer printed a drawing of micro patterns formed by clusters of symbols used in electronic design.",59
"A113 Facsimile of “Art and Science Proclaim Alliance in Avant-Garde Loft”, The New York Times, Wednesday, October 11, 1967",Q19816,"Another sculptural contribution was a sound-editing assembly consisting of a tire, truck door, window frame, bathtub and air vent. This is Mr. Rauschenberg’s “Oracle.”",45
"A113 Facsimile of “Art and Science Proclaim Alliance in Avant-Garde Loft”, The New York Times, Wednesday, October 11, 1967",Q19817,"Five radios are used, with the tuning dial of each bring rotated by motor. Thus, each radio picks up snatches of the broadcasts of all the local radio stations. To eliminate wiring from assembly components to the central pick-up point, signals from the radios are relayed to components by small FM transmitters.",62
"A113 Facsimile of “Art and Science Proclaim Alliance in Avant-Garde Loft”, The New York Times, Wednesday, October 11, 1967",Q19822,"A.T.&T., the International Business Machines Company, the Atlantic Richfield Corporation and various labor groups are among the organizations that have made $1,000 contributions for furthering the cooperation between artists and engineers. But Mr. Gross urged industry to enlarge “the less than 3 cents of each corporation-contribution dollar that goes to the arts.”",74
"A113 Facsimile of “Art and Science Proclaim Alliance in Avant-Garde Loft”, The New York Times, Wednesday, October 11, 1967",Q19823,"“Along with its obligation to be a profit-maker for its owners, the modern business corporation has an obligation to be a good citizen in the community,” he said. “As a basic part of this obligation, the corporation must examine carefully its responsibility to support the arts.”",61
"A113 Facsimile of “Art and Science Proclaim Alliance in Avant-Garde Loft”, The New York Times, Wednesday, October 11, 1967",Q19820,"Last year, an artist-engineer collaboration called “Nine-Evenings: Theater and Engineering” left the art critics bewildered. A few visitors at Lafayette Street show also looked with puzzlement on “Oracle.” But the show sponsors emphasized that it was the idea of collaboration, and not a specific art work, that counts most.",72
"A113 Facsimile of “Art and Science Proclaim Alliance in Avant-Garde Loft”, The New York Times, Wednesday, October 11, 1967",Q19821,"In explaining the unions’ interest in art and engineering, Mr. Kenin, who is head of the musicians’ union, said that union members were concerned about a “growing chasm” between disciplines, the “growing impersonalization” of work and the frustrations faced by many individuals in seeking to make “valuable contributions.”",75
"A113 Facsimile of “Art and Science Proclaim Alliance in Avant-Garde Loft”, The New York Times, Wednesday, October 11, 1967",Q19826,"He added: “It is the artist who has the capacity to make personalized products that grow in meaning as they become more familiar. The artist has learned to use as his material the familiar that is outside the ‘accepted system.’ By his slight shifts, relevance and meaning emerge from the hackneyed.”",67
"A113 Facsimile of “Art and Science Proclaim Alliance in Avant-Garde Loft”, The New York Times, Wednesday, October 11, 1967",Q19827,"Dr. Klüver, the laser specialist, stressed his belief that the art-technology merger should primarily be aimed at “catalyzing the individual’s responsibility for the shaping of the new technology.” In pursuing this end, the 40-year-old scientist, a thin, blond man who came here from Sweden in 1954, has long assisted artists in developing new modes of expression.",82
"A113 Facsimile of “Art and Science Proclaim Alliance in Avant-Garde Loft”, The New York Times, Wednesday, October 11, 1967",Q19825,"The event served to dramatize a drive to win organizational support for the art-technology merger and to mark the transfer of Experiments in Art and Technology, Inc., a nonprofit organization of artists and engineers to the new Automation House being prepared at 49 East 69th Street.",56
"A113 Facsimile of “Art and Science Proclaim Alliance in Avant-Garde Loft”, The New York Times, Wednesday, October 11, 1967",Q19831,"Automation House will be the center of the American Foundation on Automation and Employment, headed by Mr. Kheel and concerned with human problems caused by automation - notably the problem of individual “isolation.”",44
"A113 Facsimile of “Art and Science Proclaim Alliance in Avant-Garde Loft”, The New York Times, Wednesday, October 11, 1967",Q19828,"While 20 helium-filled pillows floated eerily in a two-story room called “the Chapel,” the need for bringing artist and technologist together was stressed in speeches by Senator Jacob K. Javits, a traditionalist who sees merit in modern art; Ralph C. Gross, president of the Commerce and Industry Association; Edwin Langsam, film projection supervisor of the American Telephone and Telegraph Company; Herman D. Kenin, head of the A.F.L.-C.I.O.’s new Scientific Professional and Cultural Employees Council; and Dr. Warren Brodey, a psychiatrist, of Massachusetts Institute of Technology.",133
"A113 Facsimile of “Art and Science Proclaim Alliance in Avant-Garde Loft”, The New York Times, Wednesday, October 11, 1967",Q19829,"Dr. Brodey, who heads M.I.T.’s science camp for underprivileged youngsters, noted that new technologies had opened large new areas of creativity. While the industrial revolution “averaged the people,” he said, the great strides made in science and engineering had opened “a new potential for living in a personalized environment if we merely can think our way out of the old mass-production mentality.”",92
"A113 Facsimile of “Art and Science Proclaim Alliance in Avant-Garde Loft”, The New York Times, Wednesday, October 11, 1967",Q19834,"Technology supplies new materials, new techniques and new imagery to the artist. In return, technology gets from the artist new outlooks that make it “more human, more reasonable, more varied, more lifelike, if you wish.”",50
"A113 Facsimile of “Art and Science Proclaim Alliance in Avant-Garde Loft”, The New York Times, Wednesday, October 11, 1967",Q19835,"Robert Rauschenberg, the 41-year-old soft-spoken ex-Texan who has been called an artistic enfant terrible, agrees that technology has bountiful gifts to offer the artist. Far from fearing it, he finds it an “exciting challenge.”",59
"A113 Facsimile of “Art and Science Proclaim Alliance in Avant-Garde Loft”, The New York Times, Wednesday, October 11, 1967",Q19832,"He has advised sculptors on how to build self-exploding contraptions, helped painters add neon lights and motors to their works, and provided them with amplifiers, oscillators, speech synthesizers, image producers and various kinds of electronic detectors to extend their range. To Dr. Klüver, it is a natural marriage.",68
"A113 Facsimile of “Art and Science Proclaim Alliance in Avant-Garde Loft”, The New York Times, Wednesday, October 11, 1967",Q19839,"“If you don’t accept technology, you better go to another place because no place here is safe,” he said. Asked what made technology so exciting for him, he replied: “Nobody knows the kind of art that will be created if two or three men in diverse fields become collaborators.”",66
"A113 Facsimile of “Art and Science Proclaim Alliance in Avant-Garde Loft”, The New York Times, Wednesday, October 11, 1967",Q19836,"About 370 artists already have written to Dr. Klüver and Mr. Rauschenberg seeking technical assistance for projects they have in mind. The letters include requests for information on synthetic fabrics, pigments, enamel finishes, translucent spheres, micro-organisms, electromagnetics, “slow chemical destruction of objects,” “extending the range of sensory perception” and an “efficient way” to make paintings appear and disappear.",94
"A113 Facsimile of “Art and Science Proclaim Alliance in Avant-Garde Loft”, The New York Times, Wednesday, October 11, 1967",Q19837,"Mr. Rauschenberg himself has a project in mind with problems he has not yet been able to solve technically. He envisages a room “that would be responsive to weather, to people viewing it, to traffic, noise and light.”",52
A120 Guest list for Nine Evenings: Theater and Engineering press briefing,Q19843,"NINE EVENINGS
Press Briefing September 29, 1966
-
Guest List page 2
Miscellaneous
Ella Pincus
Jerry Ordover
Jane Kronholz
Ruth Volmer
Mr. & Mrs. Maurice Grossman
Seymour Schweber
Mr. & Mrs. J. Brown
Mr. McNeali
2 representatives from U.S. Institute for Theater Technology
Leo Castelli
Marion Javits
Jill Jakes
Thelma Schumacher
Arthur Albiston
Conrad Pologe
Gloria Bryant
Alan Posner
Artists
John Cage
Lucinda Childs
Oyvind Fahlstrom
Alex Hay
Deborah Hay
Steve Paxton
Yvonne Rainer
Robert Rauschenberg
David Tudor
Robert Whitman
Engineers
Billy Kluver
10 others
Staff
Frank Konigsbe
Howard Marks
Alice Schwebk
Linda Perlman
Barbara Jarvis
Sue Hartnett
Nina Kaiden
Eleanor Howard",221
